step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
25850,6.441634636,6.062903543,6.099734113,6.145849366,6.17706942,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25875,6.504188285,6.19377856,6.128946502,6.280977274,5.9459774,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25900,6.626813954,6.101583055,6.312634049,6.265401236,6.213372215,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25925,6.435113984,6.262139443,6.320409342,6.188854666,6.199752101,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25950,6.488706233,6.065373841,6.188467057,6.127435096,6.181111949,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25975,6.475698462,5.97402197,6.22838317,6.140350038,6.124479286,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26000,6.388321921,6.078051085,6.211085051,6.26064796,6.295712072,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26025,6.600183736,5.972942698,6.244144092,6.307983783,6.270792132,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26050,6.357831587,6.056214374,6.177655627,6.164143654,6.106775372,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26075,6.414859241,6.191527148,6.296720927,6.228820251,6.266148821,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26100,6.487234738,6.251114227,6.283144158,6.300423286,6.090472089,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26125,6.593112167,6.253510504,6.211227502,6.323057415,6.222536421,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26150,6.526871478,6.193431854,6.301001255,6.270708244,6.225090781,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26175,6.416943537,6.183718258,6.374220648,6.335664556,6.403087132,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26200,6.633731967,6.388946072,6.235776318,6.242235769,6.162881015,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26225,6.558077277,6.241702623,6.346998938,6.072752959,6.123172764,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26250,6.400799407,6.047959547,6.234981038,6.118819374,6.085490204,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26275,6.317232061,6.108038447,6.190657882,6.240498644,6.082346959,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
