step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
25775,56728318.79,58816413.08,56069722.97,56940145.22,58656534.02,,,,TRUE,,FALSE,,TRUE,,TRUE
25800,57547754.09,60609881.13,57488098.17,56070347.78,58448790.41,,,,TRUE,,FALSE,,FALSE,,TRUE
25825,56704666.18,61421950.91,58899470.42,57990784.82,58791122.46,,,,TRUE,,TRUE,,TRUE,,TRUE
25850,59840207.74,59977976.69,59437114.16,60056578.38,59514749.69,,,,TRUE,,FALSE,,TRUE,,FALSE
25875,57662684.93,61726306.6,60497083.07,59739756.75,61201193.22,,,,TRUE,,TRUE,,TRUE,,TRUE
25900,60890422.35,62090777.94,63639081.65,61383511.3,62018779.11,,,,TRUE,,TRUE,,TRUE,,TRUE
25925,59523152.31,62016660.3,61333211.7,60988204.05,60579215.74,,,,TRUE,,TRUE,,TRUE,,TRUE
25950,58138126.27,61344415.82,62712141.41,60846328.75,59462462.74,,,,TRUE,,TRUE,,TRUE,,TRUE
25975,58577196.7,61379723.28,61125160.91,61512911.92,60444243.8,,,,TRUE,,TRUE,,TRUE,,TRUE
26000,57575231.9,59162071.96,61006699.03,61346863.4,60955407.25,,,,TRUE,,TRUE,,TRUE,,TRUE
26025,62272838.53,59172514.01,61841486.55,61436564.55,61629604.17,,,,FALSE,,FALSE,,FALSE,,FALSE
26050,59477375.12,62606613.36,60670502.77,61800328.04,60871324.92,,,,TRUE,,TRUE,,TRUE,,TRUE
26075,59958588.79,63790098.3,62693289.17,61624661.6,61520843.47,,,,TRUE,,TRUE,,TRUE,,TRUE
26100,60882361.46,63029779.4,61497924.02,64445558.44,61213501.2,,,,TRUE,,TRUE,,TRUE,,TRUE
26125,61050835.72,62199504.16,62458349.53,63000354.54,63757096.42,,,,TRUE,,TRUE,,TRUE,,TRUE
26150,59174441.17,64682471.29,63209585.44,64667758.61,63477208.26,,,,TRUE,,TRUE,,TRUE,,TRUE
26175,61587363.5,62624323.01,64640253.54,62248753.2,64049293.29,,,,TRUE,,TRUE,,TRUE,,TRUE
26200,62448454.72,65137950.37,64064583.65,64120221.63,63266367.4,,,,TRUE,,TRUE,,TRUE,,TRUE
26225,64157810.24,64849331.62,64196891.15,63409285.06,61576650.19,,,,TRUE,,TRUE,,FALSE,,FALSE
26250,61586696.59,64876733.19,64839390.44,62742757.91,63200291.14,,,,TRUE,,TRUE,,TRUE,,TRUE
26275,62660001.68,64988278.65,65618144.07,65491837.31,63267137.26,,,,TRUE,,TRUE,,TRUE,,TRUE
26300,62643147.68,63571179.19,65109470.15,65170292.74,65267476.67,,,,TRUE,,TRUE,,TRUE,,TRUE
26325,63150526.71,65861841.62,65327063.79,64871597.05,65135430,,,,TRUE,,TRUE,,TRUE,,TRUE
26350,63479390.18,66010332.45,66129191.43,66408032.83,65426620.27,,,,TRUE,,TRUE,,TRUE,,TRUE
26375,63461953.21,66050877.87,65918334.2,66176497.57,64647780.44,,,,TRUE,,TRUE,,TRUE,,TRUE
26400,64085650.52,67782799.37,65600377.97,66045137.65,65572736.64,,,,TRUE,,TRUE,,TRUE,,TRUE
26425,65004742.95,65409513.65,67059471.31,65104955.81,66725085.4,,,,TRUE,,TRUE,,TRUE,,TRUE
26450,64111775.55,66138667.05,66231613.68,66529243.02,64643237.81,,,,TRUE,,TRUE,,TRUE,,TRUE
26475,61500620.46,66819942.83,65021994.78,64506689.02,65172346.22,,,,TRUE,,TRUE,,TRUE,,TRUE
26500,63048771.68,66702466.07,64298490.12,64520609.48,64588179.21,,,,TRUE,,TRUE,,TRUE,,TRUE
26525,64041645.53,65162850.88,63373226.71,63360973.11,64770918.97,,,,TRUE,,FALSE,,FALSE,,TRUE
26550,61958103.55,65113217.19,64581060.51,63282704.06,64192325.96,,,,TRUE,,TRUE,,TRUE,,TRUE
26575,62545078.32,64466098.61,64969971,65775295.95,66266023.43,,,,TRUE,,TRUE,,TRUE,,TRUE
26600,63431635.62,65482021.06,64339704.89,65207564.49,65008547.65,,,,TRUE,,TRUE,,TRUE,,TRUE
26625,62729430.72,65457396.81,64004550.49,66004485.1,65320038.96,,,,TRUE,,TRUE,,TRUE,,TRUE
26650,63163320.46,64928190.99,64489390.33,66319921.36,65485901.43,,,,TRUE,,TRUE,,TRUE,,TRUE
26675,62525054,64125024.01,63885746.71,64544685.28,63584383.86,,,,TRUE,,TRUE,,TRUE,,TRUE
26700,64007355.1,62970664.61,63623197.09,64681863.57,65364569.26,,,,FALSE,,FALSE,,TRUE,,TRUE
26725,64652063.79,65966196.02,63245876.08,65290800.01,64152528.08,,,,TRUE,,FALSE,,TRUE,,FALSE
26750,65872655.5,65559086.25,64288803.74,63650989.42,63583175.44,,,,FALSE,,FALSE,,FALSE,,FALSE
26775,64865049.22,63546188.24,64650146.94,64021279.65,62953621.93,,,,FALSE,,FALSE,,FALSE,,FALSE
26800,64362097.2,63251979.22,63778238.68,65454164.23,64813986.57,,,,FALSE,,FALSE,,TRUE,,TRUE
26825,64085217.14,64635783.01,64991655.09,63984962.53,64598333.19,,,,TRUE,,TRUE,,FALSE,,TRUE
26850,62951674.62,64801200.54,64606043.48,65137260.21,66682775.26,,,,TRUE,,TRUE,,TRUE,,TRUE
26875,64478305.51,65212483.07,66934952.79,65163849.36,65444716.24,,,,TRUE,,TRUE,,TRUE,,TRUE
26900,64635346.44,65585243.46,66553034.43,65221054.7,64441703.85,,,,TRUE,,TRUE,,TRUE,,FALSE
26925,63926506.28,66380645.75,65684265.77,66113218.2,67131572.93,,,,TRUE,,TRUE,,TRUE,,TRUE
26950,64669897.09,65677695.44,65273562.2,66864759.51,66905630.36,,,,TRUE,,TRUE,,TRUE,,TRUE
26975,63646047.77,65286360.7,64366811.35,66226728.25,65987647.06,,,,TRUE,,TRUE,,TRUE,,TRUE
27000,63407715.92,65419285.05,65658338.98,64858740.18,65132895.51,,,,TRUE,,TRUE,,TRUE,,TRUE
27025,60441860.43,66480198.15,65734253.77,65775538.31,63809953,,,,TRUE,,TRUE,,TRUE,,TRUE
27050,63035093.32,65870524.04,65609420.66,65728636.18,65607768.32,,,,TRUE,,TRUE,,TRUE,,TRUE
27075,63541148.14,65566562.51,64208590.94,66416160,66247869.71,,,,TRUE,,TRUE,,TRUE,,TRUE
27100,63014134.08,65349886.6,65936318.3,64958833.97,65330172.86,,,,TRUE,,TRUE,,TRUE,,TRUE
27125,63853057.99,65615808.68,65912723.85,66179097.38,66667225.73,,,,TRUE,,TRUE,,TRUE,,TRUE
27150,65738822.76,65920996.26,65064448.99,66631135.14,64812453.26,,,,TRUE,,FALSE,,TRUE,,FALSE
27175,64791760.09,65346665.82,64129361.34,65923481.08,67552385.49,,,,TRUE,,FALSE,,TRUE,,TRUE
27200,61788406.18,65710011.28,63778618.74,63964537.23,66670511.87,,,,TRUE,,TRUE,,TRUE,,TRUE
27225,63182890.79,66937315.35,65842245.64,64407090.86,66353551.79,,,,TRUE,,TRUE,,TRUE,,TRUE
27250,62352637.24,64340516.54,63788362.51,65239722.95,67007674.77,,,,TRUE,,TRUE,,TRUE,,TRUE
27275,63085858.05,65747947.18,62970053.03,64959978.06,64006044.55,,,,TRUE,,FALSE,,TRUE,,TRUE
27300,61119073.57,65933109.78,63762800.42,64441197.92,69071801.91,,,,TRUE,,TRUE,,TRUE,,TRUE
